,name,description
19, Buckingham Leather Sofa,"Our American-made Leather Lodge Collection offers quality craftsmanship, maximum comfort and casual style. Specs: Dimensions: 36""H x 78""W x 39""D. Weight: 159 lb. 11 oz. (Includes shipping materials). Construction: Durable, solid kiln-dried hardwood frames. High-density foam cushions. Solid wood feet. Rich, top-grain leather has a burnished warmth and a supple feel. Additional Features: Stylish, comfortable and well-built. Frames have exceptional joinery and feature spring construction to ensure resiliency. Chocolate Brown has a supple, broken-in feeling and a beautiful natural patina. Chestnut Brown is slightly distressed for a gorgeous vintage look. Made in USA of imported materials. Questions?"
20,Women's Camelbak Horizon Hydration Pack,"When it??s time to log some miles, this women??s Aurora CamelBak hydration pack is designed to fit your form, keeping you comfortably hydrated from start to finish. Specs: Pack Capacity: 305 cu. in., 5 L; Weight: 14 oz.; Dimensions: 15 1/8""H x 10?""W x 8 7/8""D; Hydration capacity: 85 oz. Why We Love It: Designed for women, with a curved harness and a compact shape, it provides the water and gear you need ?C when and where you need it. Construction: Made from 200-denier plain weave polyester; Ventilated-mesh back panel and harness are light and cool; Antimicrobial lining prevents bad odors and tastes; New Crux reservoir flows 20% faster. Additional Features: Slim design won??t interfere with helmet or jersey pocket access; Curved harness and compact shape fits women??s torsos naturally; Two zip pockets hold keys, spare tubes and other essentials; Reflective piping for visibility; Tab on back for attaching blinking light; Imported."
21,"Militia Pullover, Crewneck","Our Men??s commando sweater is comfortable, warm and impeccably styled. Size & Fit: Slightly Fitted: Relaxed through the chest and sleeve, with a slightly slimmer waist. Formerly known as Trim Fit, our Slightly Fitted Sweaters are relaxed through the chest and sleeves and have a slightly slimmer waist. Why We Love It: Steeped in tradition and history, the iconic commando sweater worn in World War II by the British S.A.S. is the inspiration for this sweater. Fabric & Care: 100% merino lambswool, 21 oz. Shoulder and elbow patches: 100% cotton. Handwash and dry flat, or dry clean. Additional Features: Warm wool sweater like those worn by the British Commandos in World War II. Excellent resiliency and shape retention. Crew neck and turn-back cuffs. Elbow and shoulder patches ensure long wear. Well-loved customer favorite. Neat, trim appearance. Nonbinding fit for outdoor comfort. Imported."
22,"Comfyside Sweats, Straight-Leg","Our Ultrasoft Sweatpants in a straight-leg style??made from remarkably comfortable french terry. 

Size & Fit
Inseams: Misses?? 30?"", Petite 28?"", Medium Tall 32?"", Women's 30?"". 
Classic Fit: Sits at the waist. 
Slightly fitted through hip and thigh. 
Straight-leg. 

Fabric & Care
In 95% cotton and 5% spandex. 
Machine wash and dry. 

Additional Features
French terry feels wonderfully soft and comfortable next to your skin. 
Designed with shaping for a more flattering, feminine fit. 
Elastic waist with drawstring, front pockets. 
Imported. 

Questions? Contact customer service for more information."
23,"Campers' Adventure Bag, Zip-Top with Shoulder Strap","Ideal for waterfowling, dog training or shooting, the water-resistant zip-top tote stands up to rugged use in the field while keeping your belongings protected and dry. It's been updated with a convenient shoulder strap. 

Specs
Medium
Capacity: Approx. 936 cu. in., 15 L.
Weight: 1 lb. 1 oz.
Dimensions: 12""H x 13""W x 6""D.

Large
Capacity: Approx. 1,785 cu. in., 29 L.
Weight: 1 lb. 9 oz.
Dimensions: 15""H x 17""W x 7""D.

Extra-Large
Capacity: Approx. 3,230 cu. in., 53 L.
Weight: 2 lb 3 oz.
Dimensions: 17""H x 19""W x 10""D.

Construction
Thermoplastic interior coating that's both durable and water resistant to keep your gear dry.
Made from a tough 1,200-denier polyester shell.
Overlapped seams double-stitched with nylon won't rot or break.
Adjustable carry shoulder strap made from rugged nylon webbing"
24,Junior All-Terrain Adventurers,"Our colorful kids' waterproof hiking shoes feature exclusive Tek2.5 technology and sneaker-like comfort, for fun on and off the trail. Why We Love It: Our hiking boots have a bright design that young hikers will love to wear ?C and the fun look goes easily from the trail to school. The great fit and rugged construction of these boots earn high marks with our customers, year after year. Construction: Breathable mesh nylon and water-resistant suede upper. Nylex lining. Additional Features: Cushioned EVA midsole and removable EVA footbed provide noticeable comfort, right out of the box. Heel and toe bumpers add durability. Lace-up style for a custom fit. TEK2.5 waterproofing ensures feet will stay dry in all conditions. Trail Trac rubber outsole features a versatile lug pattern for traction on a variety of surfaces. Imported."
25,Women's PrimaLoft Downpour Jacket,"Our PrimaLoft hooded insulated jacket is redesigned to keep you warm and lightweight in any weather. It is wind and water resistant and offers two levels of comfort: light activity to 35?? and moderate activity to -15??. The updated construction is made with PrimaLoft??s Cross Core technology, which is a fusion of PrimaLoft Gold insulation and Aerogel. This combination provides 15% more warmth without any additional weight. The polyester shell and lining is 100% recycled and machine washable. This jacket features an easy on/off elastic hood, an internal media pocket with audio port, two handpockets, one chest pocket, drawcord hem, and a take-along pocket for easy storage. Explore Cross Core and watch the video for more information."
26,"MaxGrip Sport Socks, Twin Pack","Our women's moisture-wicking socks are designed with quick-drying, breathable fabric and thoughtful cushioning to keep your feet cool and dry during any activity. Fabric & Care: 43% nylon, 40% CoolMax polyester, 15% NanoGlide nylon, 2% spandex. Machine wash and dry for best care. Additional Features: CoolMax yarn offers advanced moisture control, NanoGlide technology reduces friction and prevents blisters, mesh surrounds the foot for 360 degrees of breathability, cushioned heels and toes. Fabric imported from USA."
27,Doggy Den Pad,"Keep your dog comfortable on the go with our dog kennel pad that features a water-resistant polyester cover and a 2"" foam that insulates from the cold kennel floor. Specs: Intermediate: Dimensions: 17"" x 26"". Large: Dimensions: 18"" x 30"". Extra-Large: Dimensions: 22"" x 33"". Construction: Polyester cover and foam. Imported. If you have any questions, please contact us."
28,Performance Plus Woven Shirt,"Perfect for trail or travel, this breathable summer shirt has the look and feel of cotton - but is packed with performance. Size & Fit Slightly Fitted: Softly shapes the body. Falls at hip. 

Why We Love It Designed for total versatility in the backcountry or city streets. We made this woven top with a special quick-dry fabric ?C one of the fastest drying you'll find anywhere, so you can hit the trail or town in a top that looks great and performs even better. 

Fabric & Care 100% nylon. UPF 40+ rated to block the sun's UV rays. Machine wash and dry. 

Additional Features Dries in less than fourteen minutes. Wicks away moisture. Abrasion-resistant for exceptional durability. Imported. 

Sun Protection That Won't Wear Off Our high-performance fabric provides SPF 50+ sun protection, blocking 98% of the sun's harmful rays."
29, Classic Book Pack,"Our Original Book Pack has been beloved by parents of young students for the past nearly 30 years. Its classic styling and durability are renowned, and now it has been updated with a convenient water bottle pocket. 

Specs:
Capacity: 1,404 cu. in., 23 liters 
Weight: 1 lb. 
Dimensions: 16""H x 13""W x 7?"" 

Why We Love It:
This backpack has been a staple for nearly three decades, and its lasting quality is undeniable. Its updated water bottle pocket makes it even more useful for your child's everyday needs. 

Construction: 
Made of weatherproof, 100% nylon 
Padded back panel for all-day comfort 
Padded, reinforced shoulder straps 
Tough zippers for years of use 
3M? Scotchlite? Reflective Material on front and straps for high visibility 

Additional Features:
Large main compartment holds a lunch box, books, worksheets, art projects and more 
Front pockets feature a key clip, an organizer panel and a place for lunch money or small treasures 
Easily folds down for stowing in a larger pack or duffle "
30,"Kids' Mountain Adventure Fleece, Print"," 

We designed this warm, versatile fleece from anti-pill fabric to continue looking great even after multiple wears ?C and washings. Size & Fit: Relaxed Fit. Fabric & Care: 100% polyester. Machine wash and dry. Additional Features: High-quality fleece fabric resists pilling for long-lasting good looks. Great on its own or as an extra layer in cooler weather. Stand-up collar, chin guard and zip pockets. 3M? Scotchlite? Reflective Material back triangle for increased visibility. Heritage-inspired Mount Katahdin logo. Imported."
31,Rustic Reclaimed Wood Accent Table,"This rustic wooden side table with pullout drawer is a unique and space-saving addition to any living area. Handcrafted from white pine, it features a durable low-sheen topcoat and is sanded, stained and finished to create a one-of-a-kind piece. The table measures 24""H x 15""W x 24""D and weighs 26 lb. Made in the USA. Questions? Reach out to us for help."
32,Timeless Leather Ranger Mocs," has been crafting authentic handsewn moccasins of the highest quality since 1936 ?C and the craftsmanship and comfort of these heritage mocs are no exception. 

Why We Love It: Our premium ranger mocs follow in a decades long tradition of the very best craftsmanship. So strong, durable and timeless, you'll wear them for years (even decades) to come. 

Construction: 
-Comes with rawhide and taslan laces. 
-Full-grain leather upper. 
-Leather pull loop at back collar. 
-Smooth leather lining for comfort with or without socks. 
-Molded rubber outsole. 
-Imported, components USA and imported."
33,"ed

Rangeley Camp Performance Checked Flannel Shirt","This flannel shirt jac is made for the adventurous type. Rugged and packed with performance features, it is sure to keep you warm and comfortable no matter where your journey takes you. With a slightly fitted silhouette that softly shapes the body and falls at the low hip, this ultrarugged performance flannel shirt is the perfect combination of soft and substantial. Crafted with a blend of 70% cotton and 30% polyester, high-performance hollow-core polyester yarns are designed to wick away moisture and dry fast. Abrasion-resistant construction ensures it will stand up to wear and tear. Additional features include reinforced elbows and side-seam pockets. Machine wash and dry for easy care. Imported."
34,Men's Camo Traverse Rubber Hunting Boots,"Warm, waterproof, odor fighting, durable, ultracomfortable and with great traction, these insulated rubber hunting boots stand out from any other rubber boots on the market. They're also lighter than most rubber boots. Light activity: to 20??  Moderate activity: to -30?? about comfort ratings. 

Specs: Height: 16"". Approx. Weight: 4 lb. 8 oz. per pair.

Construction: Lightweight, rugged vulcanized rubber shell resists punctures and won't restrict your movement. 2 mm neoprene with 200 gram PrimaLoft insulation for excellent warmth. Aero-foam under innersole for further protection from cold air and ground. Breathable grid fleece lining helps keep feet dry. Anti-odor treatment keeps foot odor from spooking game. Cushioned innersole for all-day walking. Neoprene top of boot allows full motion. Nylon shank for great support. Mossy Oak Country camo to keep you concealed. Aggressive tread provides great traction yet won't hold mud. Imported."
35,Polar Plunge Tube,"This tube is designed for commercial tubing parks and is built for years of heavy-duty use. It has a semirigid polyethylene base that slides exceptionally well, even in temperatures as low as -40??F. The cover and inner tube are made of 1,000 denier Cordura nylon top and heavy-duty butyl rubber respectively. Nylon webbing handles and a built-in tow strap make it easy to carry.

Regular: 
Dimensions: 34"" outside diam. x 10""H. 
Weight: 10 lb.

Extra-Large: 
Dimensions: 40"" outside diam. x 12""H. 
Weight: 17 lb.

Designed for: Ages 5 and up or adult/tandem sledding.

Video: Inflation Instructions

Additional Features: 
Sturdy base coasts on packed or powdered snow. 
Rugged shell helps protect inner tube from punctures and abrasion. 
For solo sledding, we recommend the regular size for smaller children. 
Sturdy handles and built-in tow strap make it easy to carry and pull back up the hill. 
Imported.

Printable Instructions ("
36,Garmin MiniTrack Satellite Communicator,"The Garmin inReachMini is a palm-sized satellite communicator that lets you send and receive text messages, track and share your journey and, if necessary, trigger an SOS alert to contact the GEOS 24/7 emergency response team. It has dimensions of 3.90??H x 2.04??W x 1.03??W and weighs 3.5 oz. It has a display size of 0.9"" x 0.9"" with a resolution of 128 x 128 pixels. It is powered by a rechargeable lithium-ion battery with a water rating of IPX7, able to withstand immersion in water up to 1 meter for up to 30 minutes. It has a battery life of up to 90 hours at 10-minute tracking; up to 35 hours at 10-minute tracking with 1-second logging; up to 24 days at 30-minute tracking power save mode; and up to 1 year when powered off. 

Why We Love It:
Always be connected with family and friends with the Garmin inReach Mini Satellite Communicator. It is 100% waterproof with 100% global Iridium satellite coverage allowing two-way text messaging from anywhere in the world (subscription required). Trigger an SOS alert and"
37,Fjord Fleece Sweater,"Inspired by the traditional sweaters of Norway ?C worn as a defense against the bone-chilling conditions at sea ?C this sweater is made of premium 100% wool that will keep you warm wherever you are. Why We Love It: While imitations are endless, it??s hard to find authentic sweaters like these anywhere else, especially at this price. Competitors use wool-blend yarns, more modern machinery and take other measures that just can??t compensate for the tried-and-true craftsmanship of our heirloom sweaters. Made exclusively for us the old-fashioned way, each sweater is expertly knit in Norway by family-run businesses who??ve been making them for generations. Fabric & Care: Premium 100% wool. Handwash and dry flat, or dry clean. Construction: Heavyweight wool is warm enough for unusual cold, whether braving the sea or a New England winter. Additional Features: Time-honored craftsmanship, featuring designs and traditions that go back for generations. Norwegian villagers traditionally knit distinct patterns or cables into the sweaters for good luck. Made in Norway."
38,Women's Luxurious Shearling-Lined Slides,"Pamper your soles with these easy-on women's Wicked Good slide slippers, made from authentic shearling and available in jewel tones. Size & Fit - Half sizes order up. 

Why We Love Them - With over 4 million pairs sold over the last 5 years, it??s clear customers think our Wicked Good Slippers deserve the title of Best Slippers Ever Made. They make such a great gift that we sell a pair every 7 seconds during our peak in December. Why are they so popular? There are a few reasons but at the top of the list is the most cozy shearling you can find. Throw in superior construction using premium sheepskin and you??ll know why in Maine, ??Wicked Good?? is as good as it gets. 

Fabric & Care - Spot clean. 

Construction - Sheepskin suede upper. Genuine lambswool shearling lining wicks moisture. Durable outsole for added traction. EVA foam footbed. Imported (fur Australia)."
39,Sealed Leather Moc,"Whoever said ??they don??t build things like they used to?? doesn??t own the  Boot. In an easy-to-slip-on, weather-resistant rubber moc style, this pair is handcrafted in Maine with the attention to detail we've insisted on for over 100 years. 

Size & Fit
- With light- or midweight socks: Whole sizes, order 1 size down. Half sizes, order 1? sizes down. 
- With heavyweight socks: Whole sizes, order your normal size. Half sizes, order the next size down. 

Why We Love Them
An avid outdoorsman, Bartholomew Barnstormer wanted to create a comfortable, dry pair of boots for tromping through the backwoods of Maine. Today, our Signature Collection rubber mocs are still sewn right here in Maine, one pair at a time, from rugged, weather-resistant waxed canvas that gets even better with age.

Video: One Minute on  Boot Care

Construction
- Crafted from rugged, weather-resistant waxed canvas. 
- Still made here in Maine from the highest quality materials. 
"
40,Kork-Ease Myrna Comfort Sandals,"These platform wedge sandals from Kork-Ease have been beautifully crafted since 1953 for exceptional comfort and timeless style. Constructed from full-grain leather, they feature an adjustable buckle, cushioned footbed, and a cork wedge. Imported. If you have any questions, please contact us."
41,Men's Trail Model 4 All-Terrain Waterproof Hiking Shoes,"The comfort of sneakers combined with the protection and support of hiking boots make this shoe an ideal choice for casual wear as well as outdoor adventures. Weighing in at around 2 lb. 5 oz., these shoes feature our exclusive VertiGrip outsole with pronounced multidirectional lugs for excellent traction. The breathable TEK2.5 barrier keeps your feet dry, while the suede and fabric upper, cushioned EVA midsole and removable footbed offer noticeable comfort, right out of the box. Heel-and-toe bumpers add durability. Imported."
42,Big Agnes Big House 4 Deluxe Tent Ground Cover,"Protect your tent floor from rocks, debris, and pitch with this footprint. Designed specifically for the Big Agnes Big House 4 Deluxe tent, this ultralight footprint attaches directly to the poles for easy setup. It is made from polyester with 1500mm waterproof polyurethane coating to protect your tent floor from abrasion or punctures. It weighs 15 oz and is imported."
43,New Balance Women's 990v4 Trail Runners,"The latest in New Balance's Made in the USA series, these lightweight road-running shoes combine cushioning and stability designed especially for the moderate-to-high-mileage runner. 

Size & Fit: We recommend ordering a half size up or your regular New Balance size. Approx. weight: 1 lb. 7 oz. per pair. Drop: ?"".

Made right here in New England, the New Balance 990v4 delivers improved performance and a cool, retro look every runner will appreciate. This latest-generation 990-series running shoe is more breathable than ever, and features a lace keeper to keep the tongue comfortably in place while you rack up the miles.

Construction: Pigskin-and-mesh upper is rugged, breathable and lightweight. Special ENCAP midsole technology provides support, cushioning and stability. Long-lasting blown rubber outsole. Breathable fabric lining. Soft tongue and dual-density foam collar. Removable foam insole. Made in the USA."
44,Women's New Balance 608 Leather Cross Comfort Shoes,"Thanks to their signature fit, natural construction and advanced cushioning, these all-around women??s leather New Balance sneakers will help you keep moving in comfort. 

Size & Fit
You should order New Balance active footwear one half size larger than your usual shoe size or your regular New Balance size. Fit best with midweight socks. 

Specs
Approx. Weight: 1 lb 3 oz. per pair.

Construction
Genuine leather upper looks polished yet sporty. EVA midsole ensures long wear. Abzorb technology in the heel and forefoot provides shock absorption. Dual-density collar foam protects your heels and ankles from rubbing. Nonmarking outsole allows for wear on a variety of surfaces. Flex grooves in sole increase flexibility for more natural range of movement. Soft, breathable textile lining. Imported."
